timestamp,source_ip,dest_ip,protocol,action,threat_label,log_type,bytes_transferred,user_agent,request_path,is_sqli,is_xss
2024-01-23T00:00:00.000Z,61.72.172.125,192.168.1.199,FTP,blocked,malicious,application,44543,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",/download?DROP TABLE,true,false
2024-04-11T00:00:00.000Z,150.110.230.150,192.168.1.16,TCP,allowed,malicious,firewall,16502,SQLMap/1.6-dev,/?DROP TABLE,true,false
2024-01-04T00:00:00.000Z,192.168.1.216,192.168.1.141,SSH,blocked,malicious,application,14922,curl/7.64.1,/home/user?DROP TABLE,true,false
2024-11-06T00:00:00.000Z,236.1.154.83,192.168.1.229,HTTP,blocked,malicious,application,30514,Nmap Scripting Engine,/wp-login.php?DROP TABLE,true,false
2024-01-30T00:00:00.000Z,59.151.57.2,192.168.1.205,TCP,allowed,malicious,firewall,31270,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",/?DROP TABLE,true,false
2024-06-26T00:00:00.000Z,61.72.172.125,192.168.1.80,UDP,allowed,malicious,ids,37353,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",/?DROP TABLE,true,false
2024-02-01T00:00:00.000Z,137.197.33.33,192.168.1.104,HTTP,blocked,malicious,firewall,7449,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",/admin?UNION SELECT,true,false
2024-07-09T00:00:00.000Z,249.129.196.46,192.168.1.173,SSH,blocked,malicious,firewall,43284,curl/7.64.1,/root?UNION SELECT,true,false
2024-06-19T00:00:00.000Z,7.144.51.184,192.168.1.211,ICMP,blocked,malicious,application,27009,SQLMap/1.6-dev,/?UNION SELECT,true,false
2024-02-05T00:00:00.000Z,59.211.9.207,192.168.1.184,HTTP,allowed,malicious,ids,4832,SQLMap/1.6-dev,/index.php?UNION SELECT,true,false
2024-04-03T00:00:00.000Z,137.197.33.33,192.168.1.138,TCP,blocked,malicious,firewall,9473,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",/?UNION SELECT,true,false
2024-11-13T00:00:00.000Z,55.139.34.186,192.168.1.97,ICMP,allowed,malicious,application,32158,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",/?UNION SELECT,true,false
2024-12-16T00:00:00.000Z,93.225.253.213,192.168.1.217,HTTP,allowed,malicious,application,9409,curl/7.64.1,/dashboard?UNION SELECT,true,false
2024-03-07T00:00:00.000Z,109.9.8.24,192.168.1.167,ICMP,allowed,malicious,ids,31711,SQLMap/1.6-dev,/?UNION SELECT,true,false
2024-05-14T00:00:00.000Z,166.19.156.163,192.168.1.114,TCP,allowed,malicious,application,32327,curl/7.64.1,/?DROP TABLE,true,false
2024-03-31T00:00:00.000Z,103.172.167.96,192.168.1.116,HTTP,allowed,malicious,ids,18175,SQLMap/1.6-dev,/admin?DROP TABLE,true,false
2024-08-01T00:00:00.000Z,187.14.173.168,192.168.1.116,HTTPS,allowed,malicious,ids,3592,curl/7.64.1,/api/v1/data?DROP TABLE,true,false
2024-07-14T00:00:00.000Z,55.234.242.146,192.168.1.173,HTTP,allowed,malicious,firewall,22224,curl/7.64.1,/admin?UNION SELECT,true,false
2024-10-20T00:00:00.000Z,164.29.7.190,192.168.1.48,UDP,blocked,malicious,firewall,43094,SQLMap/1.6-dev,/?UNION SELECT,true,false
2024-04-08T00:00:00.000Z,65.249.142.221,192.168.1.104,ICMP,allowed,malicious,firewall,35336,SQLMap/1.6-dev,/?UNION SELECT,true,false
2024-02-17T00:00:00.000Z,24.238.193.218,192.168.1.47,HTTPS,blocked,malicious,firewall,45784,curl/7.64.1,/api/v1/data?DROP TABLE,true,false
2024-08-31T00:00:00.000Z,21.219.60.222,192.168.1.182,UDP,allowed,malicious,ids,19080,SQLMap/1.6-dev,/?UNION SELECT,true,false
2024-11-22T00:00:00.000Z,240.226.147.148,192.168.1.147,ICMP,blocked,malicious,firewall,5401,Nmap Scripting Engine,/?DROP TABLE,true,false
2024-02-22T00:00:00.000Z,109.47.72.119,192.168.1.84,HTTPS,allowed,malicious,ids,36626,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36",/login?UNION SELECT,true,false
2024-10-11T00:00:00.000Z,55.234.242.146,192.168.1.243,UDP,blocked,malicious,application,28828,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36",/?DROP TABLE,true,false
2024-08-10T00:00:00.000Z,192.168.1.59,192.168.1.64,SSH,allowed,malicious,ids,14852,Nmap Scripting Engine,/root?UNION SELECT,true,false
2024-07-15T00:00:00.000Z,126.5.29.238,192.168.1.112,HTTP,allowed,malicious,ids,37891,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",/dashboard?DROP TABLE,true,false
2024-10-10T00:00:00.000Z,113.231.133.116,192.168.1.247,ICMP,blocked,malicious,firewall,24617,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36",/?DROP TABLE,true,false
2024-08-06T00:00:00.000Z,192.168.1.70,192.168.1.168,SSH,allowed,malicious,application,46018,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",/bin/bash?DROP TABLE,true,false
2024-11-28T00:00:00.000Z,7.144.51.184,192.168.1.51,TCP,allowed,malicious,application,27445,SQLMap/1.6-dev,/?DROP TABLE,true,false
2024-05-04T00:00:00.000Z,141.26.13.167,192.168.1.220,TCP,blocked,malicious,firewall,31656,Nmap Scripting Engine,/?DROP TABLE,true,false
2024-04-17T00:00:00.000Z,137.197.33.33,192.168.1.186,UDP,allowed,malicious,ids,10905,curl/7.64.1,/?UNION SELECT,true,false
2024-02-02T00:00:00.000Z,246.196.87.27,192.168.1.39,TCP,blocked,malicious,application,42689,Nmap Scripting Engine,/?DROP TABLE,true,false
2024-07-08T00:00:00.000Z,109.106.120.222,192.168.1.1,SSH,blocked,malicious,firewall,364,SQLMap/1.6-dev,/bin/bash?UNION SELECT,true,false
